Words	raw	percent	mean_valence	sd_valence	mean_degree	sd_degree	comment_1	comment_2	comment_3	comment_4	comment_5	comment_6	comment_7	comment_8	comment_9	comment_10	comment_11	comment_12	comment_13	comment_14	comment_15	comment_16	comment_17	comment_18	comment_19	comment_20	comment_21	comment_22
	23	5.07	0	0	2.1666666666666665	0.389249472080761																						
-Soziale Begleitung	2	0.44	1	0	1	0																						
"""Kleine"" Operationen"	2	0.44	2	0	2	0	Besonders gut für kleinere Operationen und möglicherweise den Abtransport																					
"""Soft robots"""	1	0.22	1	NA	5	NA	Organische, süße Assistenzroboter																					
"""Touch starved"" Personen"	1	0.22	2	NA	1	NA	Personen, die keinen Körperkontakt mit anderen Menschen haben können/wollen, können die emotionale Befriedigung mit einem Soft-Roboter erhalten																					
"""trauen"" sich mehr"	2	0.44	3	0	2	0	können auch in Kriegsgebieten eingesetzt werden, durch Sprengstoff nur materieller Verlust																					
"""uncanny valley"""	4	0.88	-1.5	0.577350269189626	1.75	0.957427107756338	Vermenschlichte Roboter werden häufig als gruselig wahrgenommen	Roboter könnten im Umgang auf einmal fremdartig und beängstigend wirken, wenn man sich wieder ihrer Künstlichkeit bewusst wird																				
"""unegrenzt"" verfügbar"	2	0.44	1	0	1	0																						
"""Unendlich"" Personal"	2	0.44	1	0	3	0	Mehr Kapazitäten für Therapeuten 																					
"""unmenschliche"" Algorithmen"	2	0.44	-3	0	1	0																						
(emotionale) beeinflussung möglcih	1	0.22	-1	NA	1	NA																						
(Vor-)urteilsfrei	2	0.44	3	0	5	0	Roboter gegenüber den Personen, die den Roboter nutzen																					
24  Stunden bereit	2	0.44	3	0	2	0																						
24/7	2	0.44	0	0	2	0	braucht kein pause soweit es technisch moglich ist																					
24/7 Einsatzmöglichkeit	2	0.44	3	0	2	0																						
24/7 einsetzbar	2	0.44	1	0	1	0																						
24/7 erreichbar	2	0.44	3	0	2	0																						
24/7 Erreichbarkeit	2	0.44	3	0	1	0	Roboter brauchen z.B. kein Schlaf und können somit rund um die Uhr helfen																					
24/7 Suche möglich	2	0.44	3	0	1	0																						
24/7 Support	2	0.44	3	0	1.5	0.707106781186548																						
24/7 Verfügbarkeit	4	0.88	1.5	0.577350269189626	1.5	0.577350269189626																						
Abbau sozialer Kompetenzen	1	0.22	-1	NA	1	NA	Ggf. Abbau von Fähigkeiten, weil Roboter auf angenehme Interaktionen ausgelegt sein können und daher relevante Fähigkeiten für soziale Interaktionen nicht oder nur unzureichend vermitteln.																					
Abfallmanagement:	2	0.44	2	0	2	0	 Reduziert Umweltbelastung durch effizientes Recycling.																					
abhängig von Technik	2	0.44	-2	0	1	0	"bei Ausfall könnte das für Menschen schlimm sein
"																					
Abhängigkeit	46	10.13	-1.9130434782608696	0.83867850962814	1.5217391304347827	0.912606290546966	"Der Mensch wird abhängig sein.
"	Die Person könnte abhängig vom Roboter werden und kann nicht ohne ihn leben.	Kommplette abhängigkeit durch Maschinen könnte entwickelt werden	Menschen verlassen sich immer mehr auf Roboter	Ähnlich wie bei YouTubern oder Streamern eine Art Pseudobeziehung, die mglw. abhängig macht	"Von Privatwirthschaft
"	Im Falle der Nichtverfügbarkeit oder technischen Versagens müssten nach wie vor Menschen einspringen. Menschen sollten nicht komplett abhängig von Rettungsrobotern sein und weiterhin für Katastrophenfälle geschult sein.	Gefahr der Abhängigkeit vom Assistenzroboter, weniger Kontakt zu Menschen														
Abhängigkeit haben	1	0.22	-1	NA	1	NA																						
Abhängigkeit Hersteller	2	0.44	-3	0	2	0	Firmen in der IT gehen oft pleite oder stellen die Unterstützung von Produkten ein. Man ist für Updates abhängig und Kosten können unverhergesehen steigen																					
Abhängigkeit schaffen	1	0.22	-1	NA	1	NA																						
Abhängigkeit von Maschinen	2	0.44	-2	0	1	0																						
